Investment Mix,risk tolerance,US,Foreign,Emerging Markets,Dividend Stocks,Natural Resources,Municipal Bonds,TIPS,,
Taxable,0,0,0,0,0,0,0,0,,
Taxable,0.5,0.08,0.05,0.05,0.15,0.07,0.35,0.25,,
Taxable,1,0.2,0.05,0.05,0.07,0.05,0.35,0.23,,
Taxable,1.5,0.23,0.07,0.05,0.07,0.05,0.35,0.18,,
Taxable,2,0.25,0.09,0.05,0.08,0.05,0.35,0.13,,
Taxable,2.5,0.26,0.11,0.05,0.08,0.06,0.35,0.09,,
Taxable,3,0.27,0.12,0.06,0.08,0.06,0.35,0.06,,
Taxable,3.5,0.3,0.13,0.08,0.08,0.06,0.35,0,,
Taxable,4,0.3,0.13,0.09,0.07,0.06,0.35,0,,
Taxable,4.5,0.32,0.14,0.11,0.05,0.05,0.33,0,,
Taxable,5,0.33,0.15,0.12,0.06,0.05,0.29,0,,
Taxable,5.5,0.34,0.16,0.13,0.06,0.05,0.26,0,,
Taxable,6,0.35,0.17,0.14,0.06,0.05,0.23,0,,
Taxable,6.5,0.35,0.18,0.15,0.06,0.05,0.21,0,,
Taxable,7,0.35,0.2,0.15,0.07,0.05,0.18,0,,
Taxable,7.5,0.35,0.21,0.16,0.08,0.05,0.15,0,,
Taxable,8,0.35,0.22,0.17,0.08,0.05,0.13,0,,
Taxable,8.5,0.35,0.24,0.18,0.09,0.05,0.09,0,,
Taxable,9,0.35,0.25,0.19,0.1,0.05,0.06,0,,
Taxable,9.5,0.35,0.26,0.22,0.07,0.05,0.05,0,,
Taxable,10,0.35,0.22,0.28,0.05,0.05,0.05,0,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
