"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"5/22/2017","North Coast","POS DEBIT NORTH COAST BREWING CO FORT BRAGG CA","16.99","debit","Gifts & Donations","Day to Day","",""
"5/22/2017","Venmo","ORIG CO NAME:VENMO CO ENTRY DESCR:PAYMENT SEC:WEB IND ID:528928508 ORIG ID:3264681992","312.00","debit","Transfer","Day to Day","",""
"5/22/2017","Fort Bragg Expr","POS DEBIT FORT BRAGG EXPR FORT BRAGG CA","41.05","debit","Gas & Fuel","TOTAL CHECKING","",""
"5/22/2017","Lunardi Mkt E","POS DEBIT LUNARDI'S MKT #8 1825 E BURLINGAME CA","6.62","debit","Groceries","TOTAL CHECKING","",""
"5/22/2017","Fastrak","FASTRAK CSC","110.00","debit","Auto & Transport","Venture","",""
"5/21/2017","North Coast","NORTH COAST BREWIN","59.12","debit","Gifts & Donations","Venture","",""
"5/20/2017","Starbucks","POS DEBIT STARBUCKS STORE 08910 BURLINGAME CA","1.95","debit","Coffee Shops","Day to Day","",""
"5/20/2017","Spinster Sisters","POS DEBIT THE SPINSTER SISTERS SANTA ROSA CA","35.85","debit","Restaurants","TOTAL CHECKING","",""
"5/20/2017","Emerald Dolphin Inn","EMERALD DOLPHIN INN &","88.00","debit","Hotel","Venture","",""
"5/19/2017","Amazon","AMAZON MKTPLACE PMTS","39.54","debit","Shopping","Venture","",""
"5/20/2017","Navarro Vineyards","NAVARRO VINEYARDS","34.36","debit","Alcohol & Bars","Venture","",""
"5/19/2017","Le Croissant","LE CROISSANT CAFE BURLINGAME CA05/18","12.81","debit","Coffee Shops","Day to Day","",""
"5/19/2017","Panera Bread","PANERA BREAD #4473 SANJOSE CA05/18","22.03","debit","Fast Food","TOTAL CHECKING","",""
"5/18/2017","Google Payroll Ppd","GOOGLE INC       PAYROLLPPD ID: J770493581","750.00","credit","Paycheck","TOTAL CHECKING","",""
"5/18/2017","AT&T","AT&T","76.76","debit","Home Phone","Venture","",""
"5/17/2017","Safeway","SAFEWAY STORE     2878 MILLBRAECA   216083  05/17","17.37","debit","Groceries","TOTAL CHECKING","",""
"5/16/2017","Capital One Online","CAPITAL ONE      ONLINE PMT 713539919574096 WEB ID: 9279744991","1669.83","debit","Credit Card Payment","Day to Day","",""
"5/16/2017","Trader Joe's","TRADER JOE'S # 170 MILLBRAE CA416223  05/16","24.44","debit","Groceries","TOTAL CHECKING","",""
"5/16/2017","Chevron","Chevron","46.87","debit","Gas & Fuel","Venture","",""
"5/15/2017","Amyris Biotechno Direct","AMYRIS BIOTECHNO DIRECT DEPPPD ID: 9111111101","2487.62","credit","Paycheck","Day to Day","",""
"5/15/2017","Amyris Biotechno Direct","AMYRIS BIOTECHNO DIRECT DEPPPD ID: 9111111101","373.58","credit","Paycheck","Day to Day","",""
"5/15/2017","Lunardi Mkt Burlingame","LUNARDI'S MKT #8 1825 BURLINGAMECA          05/13 Purchase $14.4","54.42","debit","Groceries","Day to Day","",""
"5/15/2017","Raley's","RALEY'S #311 MANTECA CA772695  05/14","9.68","debit","Groceries","Day to Day","",""
"5/15/2017","Target","TARGET T- 280 Spreckel Manteca CA            05/14","51.24","debit","Shopping","Day to Day","",""
"5/15/2017","Amyris Biotechno Direct","AMYRIS BIOTECHNO DIRECT DEPPPD ID: 9111111101","750.00","credit","Paycheck","TOTAL CHECKING","",""
"5/15/2017","Maverick","MAVERICK JACKS LLC BURLINGAME CA05/12","37.00","debit","Restaurants","TOTAL CHECKING","",""
"5/15/2017","Target","TARGET T- 2220 Bridgep San MateoCA          05/14","54.88","debit","Shopping","TOTAL CHECKING","",""
"5/15/2017","Spotify","Spotify","9.99","debit","Music","Venture","",""
"5/15/2017","Capital One Online","CAPITAL ONE ONLINE PYMT AuthDate 15-M AY","1669.83","credit","Credit Card Payment","Venture","",""
